ITEM DESCRIPTION,CATEGORY,SUB-CATEGORY,UNIT,JANUARY_2021,FEBRUARY_2021,MARCH_2021,APRIL_2021,MAY_2021,JUNE_2021,JULY_2021,AUGUST_2021,SEPTEMBER_2021,OCTOBER_2021,NOVEMBER_2021,DECEMBER_2021,Rate per Month_2021,TOTAL_2021,JANUARY_2022,FEBRUARY_2022,MARCH_2022,APRIL_2022,MAY_2022,JUNE_2022,JULY_2022,AUGUST_2022,SEPTEMBER_2022,OCTOBER_2022,NOVEMBER_2022,DECEMBER_2022,Rate per Month_2022,TOTAL_2022,JANUARY_2023,FEBRUARY_2023,MARCH_2023,APRIL_2023,MAY_2023,JUNE_2023,JULY_2023,AUGUST_2023,SEPTEMBER_2023,OCTOBER_2023,NOVEMBER_2023,DECEMBER_2023,Rate per Month_2023,TOTAL_2023
ECI Anti HIV 1 + 2 Controll - 10test/Kit 79,Medical Items,Laboratory Test Kits,Kit,0,3,1,6,7,8,0,0,0,0,3,0,2.333333333,28,0,1,0,3,3,1,1,1,1,0,0,2,1.083333333,13,1,3,2,5,3,6,1,0,0,0,0,0,1.75,21
ECI Anti- Hbs Calibrators 79,Medical Items,Laboratory Test Kits,Kit,1,2,0,1,0,0,2,0,0,0,0,1,0.583333333,7,0,3,0,0,0,0,0,3,0,0,0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECI Anti- Hbs Controls 79,Medical Items,Laboratory Test Kits,Kit,0,0,0,1,0,0,0,0,0,0,1,2,0.333333333,4,0,2,0,0,4,0,3,1,1,2,0,1,1.166666667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECI Anti- Hbs Reagent 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,0,4,2,1,0,4,0,0,0,0,4,0,1.25,15,0,1,1,0,4,0,2,0,4,0,0,2,1.166666667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECI CA 125 II Calibrators 79,Medical Items,Laboratory Test Kits,Kit,0,0,0,2,5,0,0,1,0,0,1,0,0.75,9,0,5,0,0,0,0,3,0,0,2,2,0,1,12,0,1,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI CA 125 II Reagent 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,3,0,2,3,0,0,0,0,0,0,0,2,0.833333333,10,2,0,3,0,1,0,6,2,0,0,4,0,1.5,18,0,0,2,1,0,0,2,0,0,0,0,0,0.416666667,5
ECI CA 15-3 Calibrators 79,Medical Items,Laboratory Test Kits,Kit,0,4,3,3,1,0,0,0,0,2,0,4,1.416666667,17,0,1,0,0,0,0,3,0,2,2,2,0,0.833333333,10,0,1,0,0,0,0,0,0,0,0,0,0,0.083333333,1
ECI CA 15-3 Reagent 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,0,0,5,0,0,0,0,4,1,0,0,3,1.083333333,13,0,1,2,3,0,4,1,0,4,0,0,0,1.25,15,0,0,1,1,0,0,2,0,0,0,0,0,0.333333333,4
ECI CA 19-9 Calibrators 79,Medical Items,Laboratory Test Kits,Kit,4,0,1,2,1,0,2,4,0,0,4,0,1.5,18,0,0,0,0,4,3,4,1,0,0,0,0,1,12,0,1,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI CA 19-9 Reagent 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,0,2,2,1,0,0,1,3,2,0,0,2,1.083333333,13,0,1,8,3,0,4,3,0,3,0,2,4,2.333333333,28,0,0,5,1,0,1,3,0,0,0,0,0,0.833333333,10
ECI CEA Calibrators 79,Medical Items,Laboratory Test Kits,Kit,3,0,0,1,0,3,3,0,2,4,0,4,1.666666667,20,0,1,1,0,4,0,0,3,4,0,0,0,1.083333333,13,0,1,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI CEA Reagent 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,1,2,0,0,2,0,1,0,0,0,1,0,0.583333333,7,0,2,1,5,0,0,0,4,1,3,0,0,1.333333333,16,0,0,1,2,0,1,2,0,0,0,0,0,0.5,6
ECI Ferritin Caibrators 79,Medical Items,Laboratory Test Kits,Kit,0,0,0,1,0,4,0,1,0,0,1,0,0.583333333,7,0,3,1,0,0,4,4,0,3,0,0,1,1.333333333,16,1,0,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI Ferritin Reagent 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,9,3,12,9,7,0,7,4,2,0,2,4,4.916666667,59,10,0,7,9,1,0,1,0,0,4,4,2,3.166666667,38,7,0,8,6,3,2,5,0,0,0,0,0,2.583333333,31
ECI Free T3 Calibrator 79,Medical Items,Laboratory Test Kits,Kit,1,0,1,1,0,0,0,0,2,0,0,4,0.75,9,0,1,0,0,5,0,3,0,0,0,3,1,1.083333333,13,0,1,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI Free T3 Reagent 100wells 79,Medical Items,Laboratory Test Kits,Kit,2,4,0,5,5,0,1,0,1,0,0,0,1.5,18,0,0,5,5,6,1,4,1,2,4,0,0,2.333333333,28,1,1,2,2,2,1,5,0,0,0,0,0,1.166666667,14
ECI Free T4 Calibrator 79,Medical Items,Laboratory Test Kits,Kit,3,0,3,0,0,0,0,3,0,3,0,3,1.25,15,4,0,0,0,5,0,1,0,0,0,0,0,0.833333333,10,0,3,0,0,1,0,0,0,0,0,0,0,0.333333333,4
ECI Free T4 Reagent 100wells - 1387000 79,Medical Items,Laboratory Test Kits,Kit,4,5,9,13,4,5,13,4,2,2,1,0,5.166666667,62,9,3,13,11,13,13,14,4,1,3,3,0,7.25,87,8,7,13,16,9,9,18,0,0,0,0,0,6.666666667,80
ECI FSH Calibrators 79,Medical Items,Laboratory Test Kits,Kit,1,4,0,0,1,0,0,4,0,0,0,2,1,12,0,5,0,0,0,3,1,0,1,1,3,0,1.166666667,14,0,1,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI FSH Reagent 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,4,0,8,5,4,2,1,3,4,0,0,1,2.666666667,32,1,2,2,6,0,3,5,0,0,0,0,0,1.583333333,19,0,1,4,2,1,1,3,0,0,0,0,0,1,12
ECI Hbsag Calibrators 79,Medical Items,Laboratory Test Kits,Kit,0,1,1,2,5,0,0,4,0,0,0,0,1.083333333,13,0,3,0,0,0,0,0,0,0,0,0,0,0.25,3,0,2,0,0,1,0,0,0,0,0,0,0,0.25,3
ECI Hbsag Controls 79,Medical Items,Laboratory Test Kits,Kit,0,4,1,0,2,7,0,4,1,0,0,0,1.583333333,19,0,1,3,0,0,7,0,0,2,0,1,0,1.166666667,14,2,1,2,2,2,3,1,0,0,0,0,0,1.083333333,13
ECI Hbsag Reagent 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,8,2,6,8,8,6,6,0,0,0,2,0,3.833333333,46,2,0,10,10,7,8,6,0,0,0,0,0,3.583333333,43,5,3,6,10,4,5,9,0,0,0,0,0,3.5,42
ECI High Sample Dil A Off - Reagent 79,Medical Items,Laboratory Test Kits,Kit,1,4,0,0,0,4,2,4,0,0,1,0,1.333333333,16,0,0,0,4,0,0,1,2,0,0,0,0,0.583333333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECI High Sample Dil A On Pk/100 - 8430373 79,Medical Items,Laboratory Test Kits,Kit,4,2,1,0,0,1,4,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,2,0,0,0,0.25,3,1,0,0,1,0,0,2,0,0,0,0,0,0.333333333,4
ECI High Sample Dil B On - 8321200 - Reagent 79,Medical Items,Laboratory Test Kits,Kit,3,3,0,3,4,0,3,1,0,1,0,4,1.833333333,22,0,0,5,0,0,5,0,0,4,0,2,0,1.333333333,16,1,1,1,2,0,1,1,0,0,0,0,0,0.583333333,7
ECI HIV Combo Calibrators 79,Medical Items,Laboratory Test Kits,Kit,0,2,2,0,1,0,1,0,0,4,1,1,1,12,0,3,0,4,5,3,0,0,0,0,0,4,1.583333333,19,1,0,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI HIV Combo Reagent 79,Medical Items,Laboratory Test Kits,Kit,6,2,9,7,0,6,5,0,3,4,0,0,3.5,42,7,0,4,6,7,0,6,3,0,3,0,2,3.166666667,38,5,0,6,8,5,4,7,0,0,0,0,0,2.916666667,35
ECI LH Calibrator 79,Medical Items,Laboratory Test Kits,Kit,0,0,0,2,0,3,0,0,0,0,4,0,0.75,9,0,3,0,0,0,0,0,1,0,0,0,0,0.333333333,4,0,2,0,0,0,0,0,0,0,0,0,0,0.166666667,2
ECI LH Reagent 100 Wells - 1350198 79,Medical Items,Laboratory Test Kits,Kit,3,0,5,8,1,0,6,1,0,0,0,2,2.166666667,26,3,0,3,0,0,0,2,0,0,0,1,0,0.75,9,2,0,2,4,1,1,2,0,0,0,0,0,1,12
ECI Maintenance Pack 79,Medical Items,Laboratory Test Kits,Kit,0,0,1,0,2,5,0,0,0,2,0,4,1.166666667,14,0,0,0,0,4,0,0,0,0,0,3,0,0.583333333,7,2,1,1,1,1,1,2,0,0,0,0,0,0.75,9
ECI Progesterone Calibrator 79,Medical Items,Laboratory Test Kits,Kit,2,0,0,3,4,0,0,4,0,0,4,4,1.75,21,0,0,4,3,1,1,4,0,0,0,0,2,1.25,15,1,0,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI Progesterone Reagent 100wells 79,Medical Items,Laboratory Test Kits,Kit,0,0,0,5,0,5,0,4,4,0,1,0,1.583333333,19,0,3,0,4,0,0,0,3,0,1,0,3,1.166666667,14,1,0,1,2,0,2,2,0,0,0,0,0,0.666666667,8
ECI Prolactin Calibrator - 1113596 79,Medical Items,Laboratory Test Kits,Kit,0,0,4,0,3,0,0,0,2,0,0,1,0.833333333,10,0,0,4,2,0,4,0,2,0,0,4,4,1.666666667,20,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,1
ECI Prolactin Reagent - 1849793 79,Medical Items,Laboratory Test Kits,Kit,2,2,0,3,0,0,2,0,2,0,0,0,0.916666667,11,3,0,0,0,5,0,5,0,3,0,0,0,1.333333333,16,1,1,2,2,1,1,2,0,0,0,0,0,0.833333333,10
ECI PSA II Calibrators 79,Medical Items,Laboratory Test Kits,Kit,0,2,0,3,5,0,2,4,0,1,0,0,1.416666667,17,1,0,0,4,0,0,0,0,0,3,3,2,1.083333333,13,0,1,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI Signal Reagent - 1072693 -200 79,Medical Items,Laboratory Test Kits,Kit,22,22,22,36,30,34,39,3,0,0,0,1,17.41666667,209,26,17,21,36,33,34,39,0,3,4,0,1,17.83333333,214,26,20,20,38,30,30,40,0,0,0,0,0,17,204
ECI Syphilis Controls 79,Medical Items,Laboratory Consumables,Kit,5,0,0,6,0,0,0,0,0,0,2,1,1.166666667,14,4,4,0,5,0,0,6,0,0,2,0,0,1.75,21,2,1,2,3,1,3,3,0,0,0,0,0,1.25,15
ECI Syphilis Reagent 79,Medical Items,Laboratory Consumables,Kit,6,4,2,3,3,7,0,0,0,0,3,4,2.666666667,32,4,5,10,6,0,3,7,0,3,0,0,4,3.5,42,6,3,7,7,3,7,5,0,0,0,0,0,3.166666667,38
ECI Syphilis TPA Calibrator 79,Medical Items,Laboratory Consumables,Kit,1,0,0,0,0,2,0,4,0,0,0,1,0.666666667,8,0,0,4,3,2,0,0,3,0,2,3,0,1.416666667,17,0,1,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI Testosterone Calibrator 1x3 79,Medical Items,Laboratory Test Kits,Kit,3,0,0,0,1,2,1,2,0,0,0,0,0.75,9,0,4,1,4,0,0,0,1,0,0,0,4,1.166666667,14,1,0,0,0,1,0,0,0,0,0,0,0,0.166666667,2
ECI Testosterone Reagent 79,Medical Items,Laboratory Test Kits,Kit,3,2,0,0,0,3,0,2,0,3,1,3,1.416666667,17,5,0,5,0,4,0,5,3,0,0,4,3,2.416666667,29,2,0,2,2,1,1,2,0,0,0,0,0,0.833333333,10
ECI Total B Hcg Calibrators II 79,Medical Items,Laboratory Test Kits,Kit,2,6,0,0,0,0,0,3,0,0,4,2,1.416666667,17,1,5,0,0,1,0,0,0,3,0,0,1,0.916666667,11,0,6,0,0,2,0,0,0,0,0,0,0,0.666666667,8
ECI Total B Hcg Reagent II 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,0,6,3,3,1,0,9,0,0,0,0,4,2.166666667,26,1,0,3,6,0,5,6,0,0,0,0,0,1.75,21,4,3,8,6,4,2,5,0,0,0,0,0,2.666666667,32
ECI Total PSA II Reagent 100 Wells 79,Medical Items,Laboratory Test Kits,Kit,0,0,0,1,0,0,0,3,0,0,0,0,0.333333333,4,5,0,2,0,4,1,5,2,0,0,0,0,1.583333333,19,1,2,2,2,1,1,2,0,0,0,0,0,0.916666667,11
ECI Total T3 Calibrator 79,Medical Items,Laboratory Test Kits,Kit,0,8,0,0,3,0,0,0,0,0,0,0,0.916666667,11,0,4,0,3,4,0,1,3,1,1,0,2,1.583333333,19,0,5,0,0,1,0,0,0,0,0,0,0,0.5,6
ECI Total T3 Reagent 100wells - 1322528 79,Medical Items,Laboratory Test Kits,Kit,8,8,14,15,3,13,13,0,0,0,0,3,6.416666667,77,3,4,8,10,7,5,18,3,0,0,0,0,4.833333333,58,8,7,11,14,7,9,15,0,0,0,0,0,5.916666667,71
ECI Total T4 Calibrator 79,Medical Items,Laboratory Test Kits,Kit,0,8,0,3,2,0,4,4,0,0,0,3,2,24,2,1,0,0,4,3,0,0,4,4,0,0,1.5,18,0,4,0,0,1,0,0,0,0,0,0,0,0.416666667,5
ECI Total T4 Reagent 100wells - 8744468 79,Medical Items,Laboratory Test Kits,Kit,6,5,13,11,12,7,18,0,0,0,3,0,6.25,75,14,2,13,16,7,8,13,0,4,1,1,0,6.583333333,79,11,6,11,14,9,7,16,0,0,0,0,0,6.166666667,74
ECI Troponin - I Calibrator - 1619774 79,Medical Items,Laboratory Test Kits,Kit,3,0,0,0,3,0,3,0,0,3,2,0,1.166666667,14,0,1,0,0,2,2,0,2,3,0,0,0,0.833333333,10,2,0,0,0,0,1,0,0,0,0,0,0,0.25,3
ECI Troponin - I Reagent - 1949882 79,Medical Items,Laboratory Test Kits,Kit,6,0,6,6,5,6,6,1,0,4,3,0,3.583333333,43,6,0,4,2,1,4,0,3,0,0,0,0,1.666666667,20,3,2,4,3,3,3,4,0,0,0,0,0,1.833333333,22
ECI TSH Calibrator 79,Medical Items,Laboratory Test Kits,Kit,4,0,3,0,0,0,2,3,0,3,0,0,1.25,15,0,0,0,0,3,0,0,4,0,0,0,1,0.666666667,8,0,0,0,0,0,0,1,0,0,0,0,0,0.083333333,1
ECI TSH Reagent 100 Wells 1912997 79,Medical Items,Laboratory Test Kits,Kit,7,7,22,20,18,8,26,0,2,4,0,0,9.5,114,15,11,22,19,17,15,27,0,2,0,1,0,10.75,129,11,10,22,16,15,13,24,0,0,0,0,0,9.25,111
ECI Universal Wash Reagent ( 2pcs/box) 79,Medical Items,Laboratory Test Kits,Box,4,1,13,6,11,0,3,1,3,2,1,0,3.75,45,5,4,5,3,7,2,7,2,0,3,0,3,3.416666667,41,6,2,10,7,11,0,5,0,0,0,0,0,3.416666667,41
ECI Vitamin D Calibrator 79,Medical Items,Laboratory Test Kits,Kit,0,6,1,0,5,4,0,0,0,0,3,0,1.583333333,19,1,5,0,0,5,1,0,4,1,4,2,0,1.916666667,23,1,2,0,0,1,0,0,0,0,0,0,0,0.333333333,4
ECI Vitamin D Reagent 79,Medical Items,Laboratory Test Kits,Kit,10,7,9,15,7,10,11,0,0,0,0,3,6,72,3,3,14,17,8,1,13,1,0,3,4,0,5.583333333,67,6,8,11,15,9,6,14,0,0,0,0,0,5.75,69
Ecoflex 500 mg (Ciprofloxacin Tab) 79,Medical Items,Medical Consumables,Tablet,0,0,2,0,4,3,0,0,4,3,4,0,1.666666667,20,1,0,2,4,3,2,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecosheild - 1ltr / Btl (Mikrozid) 79,Medical Items,Medical Consumables,Bottle,0,0,1,3,3,0,2,1,0,3,3,0,1.333333333,16,1,0,0,0,3,2,0,0,0,1,0,0,0.583333333,7,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,1
Ecosprin 150mg Tablet 79,Medical Items,Pharmaceuticals,Tab,0,0,0,3,1,0,10,1,0,4,0,0,1.583333333,19,3,0,0,1,0,0,15,0,4,0,2,1,2.166666667,26,0,0,0,0,0,0,14,0,0,0,0,0,1.166666667,14
Ecosprin 75mg Tablet 79,Medical Items,Pharmaceuticals,Tab,0,2,0,0,0,1,35,4,1,1,1,0,3.75,45,0,0,0,3,0,2,27,0,0,3,4,0,3.25,39,0,0,0,0,0,0,32,0,0,0,0,0,2.666666667,32
EDTA Gel 79,Medical Items,Dental Consumables,Box,0,0,0,0,0,0,1,0,2,0,2,0,0.416666667,5,0,0,0,0,3,0,3,4,3,3,0,0,1.333333333,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ejectors - Saliva - Disposable - Non Sterile - 100/Pkt 79,Medical Items,Dental Consumables,Packet,0,3,0,8,0,0,13,0,2,0,0,0,2.166666667,26,1,0,7,11,0,1,11,0,3,2,0,0,3,36,0,0,5,10,0,0,10,0,0,0,0,0,2.083333333,25
"Electrodes, Disposable - Adult 79",Medical Items,Medical Consumables,Packet,9,0,7,7,1,3,0,0,0,2,0,2,2.583333333,31,10,3,13,12,0,8,0,0,0,1,0,0,3.916666667,47,6,0,9,8,5,4,1,0,0,0,0,0,2.75,33
"Electrodes, Disposable - Child (P) 79",Medical Items,Medical Consumables,Packet,0,0,3,0,3,0,0,0,0,0,0,0,0.5,6,4,0,0,0,0,0,0,4,4,0,4,0,1.333333333,16,1,0,1,0,0,0,2,0,0,0,0,0,0.333333333,4
Electrolyte Reference Fluid (ERF) 800 79,Medical Items,Laboratory Consumables,Box,0,1,0,7,2,6,2,0,0,0,0,0,1.5,18,5,1,0,0,5,3,2,4,4,0,0,2,2.166666667,26,3,1,1,3,1,2,1,0,0,0,0,0,1,12
Emergency Pass - Red 79,General Items,Printed Items,Pad,3,0,4,0,3,0,0,0,1,2,0,1,1.166666667,14,4,2,0,0,0,1,0,0,0,4,3,1,1.25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emeset 4 mg (Tab) 79,Medical Items,Medical Consumables,Tablet,2,2,1,0,2,4,0,0,0,0,2,0,1.083333333,13,2,0,0,0,0,0,4,0,4,0,4,3,1.416666667,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emeset Syrup 2mg / 5ml 79,Medical Items,Pharmaceuticals,Bottle,4,0,0,0,0,0,3,2,0,1,0,0,0.833333333,10,3,0,2,0,0,0,1,3,0,1,0,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endotracheal Tubes - 12fr/ch 79,Medical Items,Medical Consumables,Numbers,0,1,0,0,3,0,4,1,2,3,0,0,1.166666667,14,2,0,2,0,0,0,1,4,2,3,2,0,1.333333333,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Envelope - 4 X 9 (Plain) 79,General Items,Stationary,Numbers,127,212,46,201,267,0,143,1,0,0,0,0,83.08333333,997,128,207,52,199,269,0,139,0,1,2,0,0,83.08333333,997,130,210,50,200,270,0,140,0,0,0,0,0,83.33333333,1000
Envelope - 9 X 12 (A4) 79,General Items,Stationary,Numbers,1031,331,387,1011,928,445,640,0,0,2,0,0,397.9166667,4775,1034,332,388,1010,925,450,646,0,0,0,1,0,398.8333333,4786,1030,331,390,1010,930,446,645,0,0,0,0,0,398.5,4782
"Envelope - X-Ray Cover - 10.5"" X 12.5"" 79",General Items,Printed Items,Numbers,196,103,96,101,150,130,0,0,1,4,0,2,65.25,783,195,98,104,100,148,132,0,0,3,4,0,0,65.33333333,784,200,100,100,100,150,134,0,0,0,0,0,0,65.33333333,784
"Envelope - X-Ray Cover - 17.5"" X 14.5"" 79",General Items,Printed Items,Numbers,0,0,1,0,1,4,1,0,0,0,0,0,0.583333333,7,4,0,0,0,0,3,0,2,0,1,0,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Envelope - X-Ray Cover - 17.5"" X 14.5"" - MRI 79",General Items,Printed Items,Numbers,0,2,4,0,0,0,0,4,0,0,0,0,0.833333333,10,0,2,1,0,2,0,0,1,3,0,0,1,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephedrine Sulfate Injection - 1ml 79,Narcotic,Controlled Drug,Ampule,40,0,3,2,15,21,26,4,0,4,0,0,9.583333333,115,36,0,4,2,16,26,21,0,0,0,2,3,9.166666667,110,40,0,0,0,20,25,25,0,0,0,0,0,9.166666667,110
Epidocin - Velathamate Bromide Injection 79,Medical Items,Pharmaceuticals,Numbers,60,30,33,68,0,32,59,4,0,3,0,3,24.33333333,292,64,31,27,61,0,31,61,0,0,0,0,0,22.91666667,275,60,30,30,65,0,30,60,0,0,0,0,0,22.91666667,275
Epidural Catheter - 18fg 79,Medical Items,Medical Consumables,Numbers,4,0,0,0,0,1,0,0,1,3,0,4,1.083333333,13,0,4,0,0,0,0,1,0,3,0,0,0,0.666666667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epsolin Injection, (Dilantin) - Phenytoin Sodium Injection - 2ml 79",Medical Items,Pharmaceuticals,Numbers,64,0,3,0,50,46,122,2,0,0,2,0,24.08333333,289,58,1,0,0,45,50,118,0,0,3,0,1,23,276,62,0,0,0,49,50,120,0,0,0,0,0,23.41666667,281
EQAS Clinical Chemistry Monthly Programm - 12x5ml Bc50 79,Medical Items,Laboratory Consumables,Kit,0,3,0,0,0,0,2,2,0,0,3,1,0.916666667,11,0,3,1,0,3,0,0,0,2,0,0,4,1.083333333,13,0,0,1,0,0,0,0,0,0,0,0,0,0.083333333,1
EQAS Coagulation Program 79,Medical Items,Laboratory Test Kits,Kit,0,0,0,0,1,3,0,0,2,0,3,0,0.75,9,0,4,0,3,0,0,0,3,0,1,0,4,1.25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EQAS Haematology Program 79,Medical Items,Laboratory Test Kits,Kit,3,0,3,0,0,0,0,4,0,3,0,0,1.083333333,13,0,0,0,0,2,0,0,2,0,0,0,0,0.333333333,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER Services / Consumables Payment Request (H-50) - A5 79,General Items,Printed Items,Pad,3,0,0,1,2,0,0,0,0,2,0,2,0.833333333,10,4,3,0,4,0,0,0,0,0,4,0,0,1.25,15,5,0,0,0,0,0,0,0,0,0,0,0,0.416666667,5
ER Treatment Summary Sheet - A4 79,General Items,Printed Items,Pad,23,8,8,10,0,4,4,0,0,0,2,0,4.916666667,59,20,5,6,11,4,0,8,0,1,0,0,0,4.583333333,55,23,10,10,8,1,4,4,0,0,0,0,0,5,60
Eraser 79,General Items,Stationary,Numbers,12,2,21,3,2,2,14,1,0,0,0,0,4.75,57,10,3,25,5,5,1,13,0,0,0,3,0,5.416666667,65,8,5,21,6,3,6,12,0,0,0,0,0,5.083333333,61
Erythromycin 15mcg - Sd013-5ct 79,Medical Items,Laboratory Test Kits,Kit,0,0,0,3,0,2,0,2,0,4,0,0,0.916666667,11,3,0,2,2,2,2,0,0,4,0,4,0,1.583333333,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESR Pipette With Graduation - 100/Pack 79,Medical Items,Laboratory Consumables,Packet,7,0,3,4,1,2,0,2,0,0,0,0,1.583333333,19,6,1,0,0,2,0,0,0,0,0,2,3,1.166666667,14,7,5,0,0,0,0,0,0,0,0,0,0,1,12
Extension Board - 4way 79,General Items,General Items,Numbers,0,0,0,0,0,0,1,1,0,1,0,0,0.25,3,0,0,1,1,0,3,4,0,1,0,0,1,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extension Board - 5way 79,General Items,General Items,Numbers,0,4,0,0,3,3,0,0,2,0,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extension Board - 6way 79,General Items,General Items,Numbers,0,0,0,2,0,0,0,3,4,0,0,0,0.75,9,0,3,0,0,0,1,0,0,3,1,4,3,1.25,15,1,0,0,0,0,0,0,0,0,0,0,0,0.083333333,1
Eye Prescription - A5 79,General Items,Printed Items,Pad,1,0,0,0,1,0,3,0,0,4,0,3,1,12,0,0,0,0,0,0,2,0,0,0,0,0,0.166666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1-2 / R.60 x 25 For Printer in Thermal Paper - (KX-21) 79,Medical Items,Medical Consumables,Bottle,0,0,0,0,0,0,3,4,4,0,3,1,1.25,15,1,2,3,0,0,0,4,0,0,1,0,3,1.166666667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabric Conditioner - 2ltr/Btl 79,General Items,General Items,Bottle,2,0,0,0,4,0,0,0,3,0,3,4,1.333333333,16,0,0,0,0,0,0,0,0,1,0,0,0,0.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Face Mask - Disposable 79,Medical Items,Medical Consumables,Numbers,7201,4204,4183,5045,9200,5312,6557,0,0,0,4,0,3475.5,41706,7197,4200,4188,5047,9198,5310,6558,0,0,0,3,0,3475.083333,41701,7200,4200,4185,5050,9200,5308,6554,0,0,0,0,0,3474.75,41697
Face Shield (PPE) 79,Medical Items,Medical Consumables,Numbers,21,38,22,0,74,0,155,4,0,0,0,0,26.16666667,314,20,42,24,0,67,2,155,3,0,4,0,0,26.41666667,317,24,40,20,0,70,0,160,0,0,0,0,0,26.16666667,314
Fall Risk Assessment (H-71) - A4 79,General Items,Printed Items,Pad,4,0,2,2,2,4,2,2,1,2,0,0,1.75,21,5,1,0,3,2,2,0,2,4,4,1,0,2,24,4,0,0,0,0,0,0,0,0,0,0,0,0.333333333,4
Family Planning Record 79,General Items,Printed Items,Numbers,104,0,3,1,0,1,0,0,0,1,0,3,9.416666667,113,99,0,3,0,3,2,0,4,0,0,1,0,9.333333333,112,100,0,0,0,0,0,0,0,0,0,0,0,8.333333333,100
Feeding Bag  -1200ml 79,Medical Items,Medical Consumables,Numbers,0,0,0,1,1,2,0,0,0,0,1,0,0.416666667,5,3,1,2,0,0,2,0,3,0,0,0,0,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fentanyl Injection 79,Narcotic,Controlled Drug,Ampule,94,76,62,61,772,83,92,0,0,0,0,0,103.3333333,1240,90,79,63,55,771,75,90,3,0,0,0,1,102.25,1227,90,80,60,60,770,80,90,0,0,0,0,0,102.5,1230
Fetal Monitor Paper - Biocare Nst Paper (112mm X 100mm X 160 Sheet) 79,Medical Items,Medical Consumables,Pad,0,4,2,3,2,3,0,3,0,1,4,0,1.833333333,22,1,4,0,0,1,2,0,0,0,2,0,3,1.083333333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fetal Monitor Paper - Bistos (Bt-350) 4305 , Nst Paper 79",Medical Items,Medical Consumables,Pad,0,2,2,2,0,13,2,2,1,0,0,0,2,24,1,0,0,6,0,11,3,0,0,4,0,0,2.083333333,25,2,0,0,2,0,11,0,0,0,0,0,0,1.25,15
File - Clear Folder - Plastic - A4 79,General Items,Stationary,Numbers,94,19,0,21,51,31,20,2,3,0,1,0,20.16666667,242,92,12,3,15,44,28,15,1,0,0,1,0,17.58333333,211,91,17,0,18,47,30,20,0,0,0,0,0,18.58333333,223
File - Clear Holder - 20 Pages 79,General Items,Stationary,Numbers,2,4,0,0,0,0,0,0,0,3,0,0,0.75,9,0,4,0,4,4,4,0,0,4,0,0,0,1.666666667,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
